CalendarYearMonth,Value,District
2005-06,566679,Croydon
2005-09,572308,Croydon
2005-12,574388,Croydon
2006-03,575702,Croydon
2006-06,577530,Croydon
2006-09,591890,Croydon
2006-12,607936,Croydon
2007-03,619639,Croydon
2007-06,631384,Croydon
2007-09,644751,Croydon
2007-12,653640,Croydon
2008-03,661148,Croydon
2008-06,671332,Croydon
2008-09,670795,Croydon
2008-12,658971,Croydon
2009-03,652250,Croydon
2009-06,630012,Croydon
2009-09,607833,Croydon
2009-12,597835,Croydon
2010-03,609855,Croydon
2010-06,623014,Croydon
2010-09,638013,Croydon
2010-12,652101,Croydon
2011-03,648613,Croydon
2011-06,652109,Croydon
2011-09,650007,Croydon
2011-12,649731,Croydon
2012-03,652309,Croydon
2012-06,662114,Croydon
2012-09,666305,Croydon
2012-12,676221,Croydon
2013-03,681802,Croydon
2013-06,677051,Croydon
2013-09,690075,Croydon
2013-12,703652,Croydon
2014-03,715541,Croydon
2014-06,733694,Croydon
2014-09,748281,Croydon
2014-12,779413,Croydon
2015-03,805291,Croydon
2015-06,834130,Croydon
2015-09,861957,Croydon
2015-12,892385,Croydon
2016-03,926823,Croydon
2016-06,942647,Croydon
2016-09,960503,Croydon
2016-12,980231,Croydon
2017-03,997664,Croydon
2017-06,1023910,Croydon
2017-09,1048029,Croydon
2017-12,1059370,Croydon
1995-12,228613,Ealing
1996-03,227396,Ealing
1996-06,229782,Ealing
1996-09,236598,Ealing
1996-12,242764,Ealing
1997-03,248971,Ealing
1997-06,256219,Ealing
1997-09,266765,Ealing
1997-12,276045,Ealing
1998-03,286696,Ealing
1998-06,297575,Ealing
1998-09,303897,Ealing
1998-12,310398,Ealing
1999-03,318771,Ealing
1999-06,331926,Ealing
1999-09,354038,Ealing
1999-12,377379,Ealing
2000-03,393223,Ealing
2000-06,411823,Ealing
2000-09,425967,Ealing
2000-12,435380,Ealing
2001-03,448112,Ealing
2001-06,456401,Ealing
2001-09,481212,Ealing
2001-12,490417,Ealing
2002-03,503451,Ealing
2002-06,520902,Ealing
2002-09,544749,Ealing
2002-12,572672,Ealing
2003-03,592749,Ealing
2003-06,610315,Ealing
2003-09,611605,Ealing
2003-12,617618,Ealing
2004-03,632235,Ealing
2004-06,646592,Ealing
2004-09,665783,Ealing
2004-12,678414,Ealing
2005-03,688376,Ealing
2005-06,694945,Ealing
2005-09,697799,Ealing
2005-12,699935,Ealing
2006-03,707033,Ealing
2006-06,716441,Ealing
2006-09,731969,Ealing
2006-12,747203,Ealing
2007-03,759935,Ealing
2007-06,769840,Ealing
2007-09,794870,Ealing
2007-12,824035,Ealing
2008-03,845674,Ealing
2008-06,857933,Ealing
2008-09,848659,Ealing
2008-12,820285,Ealing
2009-03,787540,Ealing
2009-06,774376,Ealing
2009-09,779549,Ealing
2009-12,798966,Ealing
2010-03,823525,Ealing
2010-06,829248,Ealing
2010-09,842213,Ealing
2010-12,858076,Ealing
2011-03,856812,Ealing
2011-06,867507,Ealing
2011-09,885423,Ealing
2011-12,905178,Ealing
2012-03,904523,Ealing
2012-06,928190,Ealing
2012-09,937366,Ealing
2012-12,957928,Ealing
2013-03,971158,Ealing
2013-06,983181,Ealing
2013-09,1002076,Ealing
2013-12,1007653,Ealing
2014-03,1041576,Ealing
2014-06,1061041,Ealing
2014-09,1127227,Ealing
2014-12,1172679,Ealing
2015-03,1204474,Ealing
2015-06,1216614,Ealing
2015-09,1237813,Ealing
2015-12,1284453,Ealing
2016-03,1318369,Ealing
2016-06,1337601,Ealing
2016-09,1354250,Ealing
2016-12,1371729,Ealing
2017-03,1375320,Ealing
2017-06,1420821,Ealing
2017-09,1448477,Ealing
2017-12,1440637,Ealing
1995-12,199736,East Midlands
1996-03,199836,East Midlands
1996-06,202222,East Midlands
1996-09,208159,East Midlands
1996-12,215604,East Midlands
1997-03,220714,East Midlands
1997-06,226794,East Midlands
1997-09,232497,East Midlands
1997-12,234039,East Midlands
1998-03,235973,East Midlands
1998-06,237765,East Midlands
1998-09,239455,East Midlands
1998-12,241050,East Midlands
1999-03,243337,East Midlands
1999-06,248079,East Midlands
1999-09,255772,East Midlands
1999-12,265519,East Midlands
2000-03,271445,East Midlands
2000-06,277099,East Midlands
2000-09,277126,East Midlands
2000-12,277286,East Midlands
2001-03,280422,East Midlands
2001-06,287766,East Midlands
2001-09,298847,East Midlands
2001-12,310141,East Midlands
2002-03,319446,East Midlands
2002-06,333029,East Midlands
2002-09,347003,East Midlands
2002-12,361911,East Midlands
2003-03,371714,East Midlands
2003-06,380231,East Midlands
2003-09,394564,East Midlands
2003-12,414134,East Midlands
2004-03,429114,East Midlands
2004-06,450848,East Midlands
2004-09,466399,East Midlands
2004-12,467819,East Midlands
2005-03,469354,East Midlands
2005-06,466537,East Midlands
2005-09,467272,East Midlands
2005-12,472695,East Midlands
2006-03,481063,East Midlands
2006-06,492457,East Midlands
2006-09,500691,East Midlands
2006-12,512747,East Midlands
2007-03,521516,East Midlands
2007-06,526632,East Midlands
2007-09,532368,East Midlands
2007-12,530839,East Midlands
2008-03,524056,East Midlands
2008-06,509411,East Midlands
2008-09,486546,East Midlands
2008-12,462344,East Midlands
2009-03,447633,East Midlands
2009-06,431884,East Midlands
2009-09,433294,East Midlands
2009-12,447021,East Midlands
2010-03,453018,East Midlands
2010-06,461962,East Midlands
2010-09,466369,East Midlands
2010-12,462873,East Midlands
2011-03,461442,East Midlands
2011-06,456488,East Midlands
2011-09,453900,East Midlands
2011-12,451936,East Midlands
2012-03,456241,East Midlands
2012-06,457683,East Midlands
2012-09,457885,East Midlands
2012-12,460257,East Midlands
2013-03,460432,East Midlands
2013-06,464273,East Midlands
2013-09,471223,East Midlands
2013-12,480911,East Midlands
2014-03,490373,East Midlands
2014-06,500068,East Midlands
2014-09,513263,East Midlands
2014-12,519628,East Midlands
2015-03,523139,East Midlands
2015-06,529446,East Midlands
2015-09,535872,East Midlands
2015-12,546127,East Midlands
2016-03,554255,East Midlands
2016-06,562189,East Midlands
2016-09,568423,East Midlands
2016-12,571945,East Midlands
2017-03,578890,East Midlands
2017-06,588107,East Midlands
2017-09,592892,East Midlands
2017-12,600624,East Midlands
1995-12,261956,East of England
1996-03,261723,East of England
1996-06,265614,East of England
1996-09,275140,East of England
1996-12,287887,East of England
1997-03,295495,East of England
1997-06,305625,East of England
1997-09,315189,East of England
1997-12,318991,East of England
1998-03,321738,East of England
1998-06,324309,East of England
1998-09,326530,East of England
1998-12,328802,East of England
1999-03,331994,East of England
1999-06,338986,East of England
1999-09,354347,East of England
1999-12,370525,East of England
2000-03,380279,East of England
2000-06,387220,East of England
2000-09,387943,East of England
2000-12,385327,East of England
2001-03,392061,East of England
2001-06,404223,East of England
2001-09,423312,East of England
2001-12,440220,East of England
2002-03,454709,East of England
2002-06,471579,East of England
2002-09,493002,East of England
2002-12,512354,East of England
2003-03,525755,East of England
